,mean,median,std
CH-Lae.1,736.9477860869564,730.27648,45.776219093837284
CH-Oe2.1,686.9820676086956,680.0415,39.03079148120259
CZ-BK1.1,649.5235710869565,656.3941500000001,50.15326515988442
CZ-KrP,718.031387173913,715.2210299999999,47.0162939141056
CZ-Lnz.1,897.5877056521738,894.12553,57.90051850695442
CZ-RAJ.1,715.403187173913,719.710885,45.96503415291641
CZ-Stn.1,741.2243560869565,745.88928,52.158094314337085
CZ-wet.1,733.6594732608695,729.5174649999999,43.32383679009513
DE-Akm.1,678.7461376086957,677.76239,48.07796020104025
DE-Geb.1,733.1815410869566,733.5423900000001,60.31117060674446
DE-Gri.1,748.5070795652173,746.3573,58.09543158492198
DE-Hai.1,699.2289771739131,695.9993,57.289536266479466
DE-HoH.1,727.5206165217392,727.664185,56.869797720675145
DE-Hzd.1,734.2982384782609,732.479885,57.964279927582645
DE-Kli.1,719.8838839130436,718.335135,58.406491580530336
DE-Obe.1,649.589289347826,646.479425,54.25885314145167
DE-RuR.1,690.6412595652173,683.93262,54.06004723727849
DE-RuS.1,752.5120719565218,748.0420799999999,56.516343196512146
DE-RuW.1,637.5081734782608,632.359785,53.21610768349608
DE-Tha.1,748.5070795652173,746.3573,58.09543158492198
DK-Gds,611.4365380434782,608.6433999999999,38.94384324457043
DK-Sor.1,640.1965482608693,639.41577,44.008770123036115
ES-Abr.1,1300.5247282608693,1288.7082,60.740333341022385
ES-Agu,1412.3309543478258,1412.06845,48.195439257684974
ES-Cnd,1250.667145652174,1257.83415,63.723482109078844
ES-LJu,1046.7823932608696,1048.0288500000001,41.04314291135035
ES-LM1.1,1274.0554369565218,1259.1045,52.34293913533604
ES-LM2.1,1274.0554369565218,1259.1045,52.34293913533604
FI-Hyy.1,507.30817282608683,509.617385,30.687326487640878
FI-Ken,,,
FI-Let.1,528.0255726086955,526.05014,32.255576522623905
FI-Qvd,583.6041728260868,584.525585,40.99633502306993
FI-Sii.1,498.4739665217392,500.61241,29.680523233044728
FI-Var.1,,,
FR-Aur,950.9313097826085,949.3323700000001,76.04672579590074
FR-Bil.1,905.9967034782608,906.7475999999999,52.21642202940498
FR-FBn,1162.7415130434786,1168.5311000000002,54.729334385503634
FR-Fon,798.4421297826085,793.462925,67.26289115638438
FR-Gri,769.8160802173912,767.96325,62.40443612632983
FR-Hes.1,786.8774204347825,776.160175,63.90932656737704
FR-Lam,820.915872826087,815.699015,68.58353337051642
FR-LGt,939.0788204347825,937.49553,74.6173852848719
FR-Tou,966.9230363043479,965.875115,74.61302315748429
GF-Guy,1313.2033413043482,1308.5235,40.907499639773064
GL-Dsk,,,
IE-Cra,603.8277069565218,603.09495,22.898011751505404
IL-Yat,1720.4603717391308,1722.6562,60.29962775603421
IT-BCi.1,1042.074873695652,1041.2494000000002,35.9448499478423
IT-BFt,943.8645630434781,948.49423,54.20824527759973
IT-Cp2.1,1111.2790260869565,1118.4362,54.91273437870282
IT-Lav,707.4583467391304,705.8874149999999,28.513344851663874
IT-Lsn.1,887.6296586956523,886.14015,57.27561003583161
IT-MBo,654.4396415217392,655.1236,26.34071320161818
IT-Ren,675.8520217391305,675.918585,29.97969869788215
IT-SR2.1,998.9993102173911,996.7874650000001,36.33814602975126
IT-Tor.1,591.8773215217391,591.13718,24.613100187240395
RU-Fy2.1,587.0753486956521,582.00635,42.57947917308596
RU-Fyo.1,587.0753486956521,582.00635,42.57947917308596
SE-Deg.1,500.3605426086957,506.112575,31.428225177140824
SE-Htm.1,613.4906217391305,613.256745,42.97971736975759
SE-Nor.1,604.5333739130435,607.4757099999999,40.915210323289976
SE-Ros.1,499.30439021739136,504.82498499999997,31.61456674775
SE-Svb.1,489.3048230434783,496.18093999999996,31.64827093268438
