,mean,median,std
AU-Cum,910.7013034782609,889.785,224.84884104590233
AU-DaS,1070.68435,1011.4849999999999,230.31204547649935
AU-Dry,866.4032665217392,873.495,221.82870650688972
AU-GWW,271.88608673913046,268.485,81.5249535352178
AU-Lit,1594.6002239130432,1538.3449999999998,273.5084809739205
AU-Lon,1594.6002239130432,1538.3449999999998,273.5084809739205
AU-Rgf,379.1593465217391,376.83000000000004,71.84676905760519
AU-Stp,587.4404326086957,545.8,214.60608796637393
AU-War,1427.5271760869564,1419.085,137.11663675468444
AU-Whr,562.0104334782609,570.3699999999999,158.03419476450574
AU-Wom,645.1902167391305,641.54998,129.36618232909794
BE-Bra,847.03,825.49,109.20192567382293
BE-Lon,886.3013078260868,867.51498,110.86794192280773
BE-Vie,1175.1741332608697,1189.1399999999999,129.63271410905114
CH-Aws,1449.434791304348,1431.45,174.29362512585453
CH-Cha,1434.4439130434782,1444.345,172.48364565924325
CH-Dav,1708.947167391305,1688.27,180.95777652424653
CH-Fru,1434.4439130434782,1444.345,172.48364565924325
CH-Lae,1159.8419571739134,1158.93,143.16249982130316
CH-Oe2,1407.4226086956521,1413.2150000000001,167.2387068692849
CZ-BK1,1075.930652173913,1058.93995,113.12916760730317
CZ-Lnz,670.0043465217391,680.735015,99.25794844932068
CZ-RAJ,764.3634747826087,758.83,99.09777159644979
CZ-Stn,907.1678271739131,920.455,106.634481792464
CZ-wet,730.9821739130437,727.64,93.29703253380318
DE-Akm,686.9134797826086,695.7,86.18218527968598
DE-Geb,659.273042826087,654.8399999999999,105.98286041197623
DE-Gri,937.4152171739131,949.3199999999999,132.51846521389928
DE-Hai,745.4371741304349,742.02,113.04253325832397
DE-HoH,658.9660876086957,650.7700199999999,100.59351719431027
DE-Hte,795.9486930434781,794.79,107.38388069517825
DE-Hzd,937.4152171739131,949.3199999999999,132.51846521389928
DE-Kli,937.4152171739131,949.3199999999999,132.51846521389928
DE-Obe,871.2732600000002,872.645,128.71936165644598
DE-RuR,1063.6052180434779,1063.45,121.05434642168082
DE-RuS,827.0413036956523,813.635,103.86473001921739
DE-RuW,1063.6052180434779,1063.45,121.05434642168082
DE-Tha,937.4152171739131,949.3199999999999,132.51846521389928
DK-Sor,709.7593480434781,709.0799999999999,97.88263355350634
ES-Abr,438.09739,423.935,110.22805335818265
ES-LM1,837.2717426086956,812.065005,208.03925252453513
ES-LM2,837.2717426086956,812.065005,208.03925252453513
