field_1,Site,Period,Dataset,x,y,KG1
85,US-Tw5,2018-2019,AMF,-121.642600000000002,38.107199999999999,8
86,US-UMB,2007-2021,AMF,-84.713800000000006,45.559800000000003,26
87,US-UMd,2007-2021,AMF,-84.697500000000005,45.562500000000000,26
88,US-Var,2000-2021,AMF,-120.950800000000001,38.413300000000000,8
89,US-Vcm,2007-2021,AMF,-106.532100000000000,35.888399999999997,26
90,US-Vcp,2007-2021,AMF,-106.596699999999998,35.864199999999997,26
91,US-Whs,2007-2020,AMF,-110.052199999999999,31.743800000000000,7
92,US-Wi0,2002-2002,AMF,-91.081400000000002,46.618800000000000,26
93,US-Wjs,2007-2021,AMF,-105.861500000000007,34.425500000000000,7
94,US-Wkg,2004-2021,AMF,-109.941900000000004,31.736499999999999,7
95,US-xAB,2019-2021,AMF,-122.330299999999994,45.762400000000000,9
96,US-xAE,2017-2021,AMF,-99.058800000000005,35.410600000000002,14
97,US-xBA,2019-2021,AMF,-156.619400000000013,71.282399999999996,29
98,US-xBL,2019-2021,AMF,-78.071600000000004,39.060299999999998,14
99,US-xBN,2019-2021,AMF,-147.502600000000001,65.153999999999996,27
100,US-xBR,2017-2021,AMF,-71.287300000000002,44.063899999999997,26
101,US-xCL,2017-2021,AMF,-97.569999999999993,33.401200000000003,14
102,US-xCP,2016-2021,AMF,-104.745599999999996,40.815500000000000,7
103,US-xDC,2017-2021,AMF,-99.106600000000000,47.161700000000003,22
104,US-xDJ,2019-2021,AMF,-145.751399999999990,63.881100000000004,23
105,US-xDL,2017-2021,AMF,-87.803899999999999,32.541699999999999,14
106,US-xDS,2017-2021,AMF,-81.436199999999999,28.125000000000000,14
107,US-xGR,2017-2021,AMF,-83.501900000000006,35.689000000000000,14
108,US-xHA,2017-2021,AMF,-72.172700000000006,42.536900000000003,26
109,US-xHE,2017-2021,AMF,-149.213300000000004,63.875700000000002,27
110,US-xJE,2017-2021,AMF,-84.468599999999995,31.194800000000001,14
111,US-xJR,2019-2021,AMF,-106.842500000000001,32.590699999999998,4
112,US-xKA,2017-2021,AMF,-96.612899999999996,39.110399999999998,25
113,US-xKZ,2017-2021,AMF,-96.563100000000006,39.100800000000000,25
114,US-xMB,2017-2021,AMF,-109.388300000000001,38.248300000000000,7
115,US-xML,2017-2021,AMF,-80.524799999999999,37.378300000000003,26
116,US-xNG,2017-2021,AMF,-100.915400000000005,46.769700000000000,26
117,US-xNQ,2017-2021,AMF,-112.452399999999997,40.177599999999998,7
118,US-xRM,2017-2021,AMF,-105.545900000000003,40.275900000000000,27
