;Site;Period;Dataset;x;y
109;US-xHE;2017-2021;AMF;-149.2133;63.8757
110;US-xJE;2017-2021;AMF;-84.4686;31.1948
111;US-xJR;2019-2021;AMF;-106.8425;32.5907
112;US-xKA;2017-2021;AMF;-96.6129;39.1104
113;US-xKZ;2017-2021;AMF;-96.5631;39.1008
114;US-xMB;2017-2021;AMF;-109.3883;38.2483
115;US-xML;2017-2021;AMF;-80.5248;37.3783
116;US-xNG;2017-2021;AMF;-100.9154;46.7697
117;US-xNQ;2017-2021;AMF;-112.4524;40.1776
118;US-xRM;2017-2021;AMF;-105.5459;40.2759
119;US-xSB;2017-2021;AMF;-81.9934;29.6893
120;US-xSC;2019-2021;AMF;-78.1395;38.8929
121;US-xSE;2017-2021;AMF;-76.56;38.8901
122;US-xSJ;2019-2021;AMF;-119.7323;37.1088
123;US-xSL;2019-2021;AMF;-103.0293;40.4619
124;US-xSR;2017-2021;AMF;-110.8355;31.9107
125;US-xST;2017-2021;AMF;-89.5864;45.5089
126;US-xTA;2017-2021;AMF;-87.3933;32.9505
127;US-xTR;2017-2021;AMF;-89.5857;45.4937
128;US-xUK;2017-2021;AMF;-95.1921;39.0404
129;US-xUN;2017-2021;AMF;-89.5373;46.2339
130;US-xWD;2019-2021;AMF;-99.2414;47.1282
131;US-xYE;2018-2021;AMF;-110.5391;44.9535
132;AU-Adr;2007-2009;OzFlux;131.1178;-13.0769
133;AU-ASM;2010-2022;OzFlux;133.2493;-22.2828
134;AU-Boy;2017-2022;OzFlux;116.9386;-32.4771
135;AU-Cpr;2011-2022;OzFlux;140.5877;-34.0027
136;AU-Cum;2014-2022;OzFlux;150.7236;-33.6152
137;AU-DaS;2008-2022;OzFlux;131.3881;-14.1592
138;AU-Dry;2010-2022;OzFlux;132.3706;-15.2588
139;AU-GWW;2013-2022;OzFlux;120.6541;-30.1913
140;AU-Lit;2015-2022;OzFlux;130.7945;-13.179
141;AU-Lon;2018-2022;OzFlux;130.7945;-13.179
142;AU-Rgf;2015-2022;OzFlux;116.9668;-32.5061
143;AU-Stp;2009-2022;OzFlux;133.3502;-17.1507
144;AU-War;2013-2021;OzFlux;146.6545;-43.095
145;AU-Whr;2011-2021;OzFlux;145.0294;-36.6732
146;AU-Wom;2010-2021;OzFlux;144.0944;-37.4222
147;BE-Bra;1996-2018;ICOS-Drought;4.520098;51.30701
148;BE-Lon;2004-2018;ICOS-Drought;4.746202;50.551338
149;BE-Vie;1996-2018;ICOS-Drought;5.99871;50.306918
150;CH-Aws;2010-2018;ICOS-Drought;9.790417;46.583306
151;CH-Cha;2005-2018;ICOS-Drought;8.41044;47.21022
152;CH-Dav;1997-2018;ICOS-Drought;9.85591;46.81533
153;CH-Fru;2005-2018;ICOS-Drought;8.53778;47.11583
154;CH-Lae;2004-2018;ICOS-Drought;8.365;47.47808
155;CH-Oe2;2004-2018;ICOS-Drought;7.73433;47.28631
156;CZ-BK1;2004-2018;ICOS-Drought;18.536882;49.502075
157;CZ-Lnz;2015-2018;ICOS-Drought;16.946331;48.68155
158;CZ-RAJ;2012-2018;ICOS-Drought;16.6965125;49.4437236
