,Site,N,EC average,EC std,v3L1 average,v3L1 std,r2,nse,bias,rmse,pbias
0,AR-TF1,12,1.1550815245803339,0.5860272660511712,1.2833333333333334,0.5982297116315671,0.8412387532650567,0.7872040761049606,0.1282518087529995,0.2642137109109686,11.103268992168855
1,CA-Cbo,108,1.5554911403509382,1.45848132362298,1.4435185185185186,1.7108927083446654,0.8687722673891524,0.8581109464194769,-0.11197262183241943,0.6414713029872434,-7.198538064778499
2,CA-DB2,39,0.760650540427618,0.6374698564438693,1.107692307692308,1.1428000274912529,0.8982864772465556,0.6515668006809471,0.3470417672646897,0.6658700806057571,45.62433717191495
3,CA-DBB,108,0.8774520180473232,0.7557522175409074,1.111111111111111,1.0805271587563032,0.8570288818246601,0.7586047696774256,0.23365909306378801,0.5284209660361593,26.629272969680056
4,CA-ER1,108,1.5971806350898703,1.3183576920637785,0.9185185185185185,1.0766118668319573,0.6637368838498181,0.09468784691101773,-0.6786621165713517,1.01962000743412,-42.49125625876153
5,CA-LP1,78,0.8826867479875554,0.7220211272978138,0.5871794871794871,0.7592475725722647,0.8461051385562982,0.6916838020322914,-0.29550726080806805,0.41887037371283037,-33.47815762293899
6,PE-QFR,72,2.80589452742115,0.43432822043243086,2.7680555555555557,0.4171757453447077,0.07871558121117687,-0.5080677344681626,-0.037838971865594644,0.5087359177920835,-1.3485528944800287
7,US-ALQ,117,1.1693542688259249,1.02783840429818,1.3076923076923077,1.697978201707784,0.9293596863336892,0.793997410512643,0.13833803886638313,0.7673694654009144,11.83029322715687
8,US-ARM,108,1.8447485920758606,1.210446435504322,1.677777777777778,1.3174127386614793,0.6871653779183954,0.6628785828306736,-0.16697081429808286,0.7613687397175294,-9.051141982994753
9,US-Bar,144,0.9277228297034138,0.994384356132727,1.4180555555555554,1.6378244472375307,0.7873294916150974,0.6185739966185362,0.4903327258521419,1.0079970723937843,52.85336418948509
10,US-Bi1,144,2.4261945389226964,1.4564605618664153,2.565277777777778,1.5423313315516662,0.8113916063584162,0.8013060860095568,0.13908323885508142,0.6851043676388564,5.732567468264048
11,US-Bi2,144,1.9708818362624616,1.3573182486069986,2.10625,2.0613397350986338,0.7056000070377028,0.6683020232021968,0.1353681637375387,1.1830626915873481,6.868405870249838
12,US-BRG,108,1.828768806120635,1.2291068204710305,1.9175925925925925,1.8883226351775952,0.871113998960163,0.7891105292526568,0.0888237864719577,0.8631448001844872,4.857026551124277
13,US-BZB,144,0.7341733175397278,0.8331802382073235,0.9715277777777778,1.3459425269811063,0.9158522013432028,0.7703119314780513,0.23735446023804999,0.6428098249252692,32.329486044718074
14,US-BZF,144,0.7921109076197725,0.9152298734434074,0.9138888888888891,1.2975830739192893,0.8204080143665697,0.7713666598552911,0.1217779812691165,0.618289291899267,15.373854860179772
15,US-BZo,144,0.8074072859081348,0.9309498219331075,1.0381944444444444,1.4276978646395022,0.9321131339870001,0.8075823873333271,0.2307871585363097,0.6240875137714819,28.583734945707217
16,US-BZS,144,0.7808008606920915,0.7926375281936957,1.0173611111111112,1.4099213815859746,0.8584294872786615,0.6973459555799153,0.23656025041901962,0.7729562449113827,30.297129822492224
17,US-CF1,108,1.2104201702937953,1.279736615329902,0.9601851851851853,1.7437707458218468,0.8086692192438273,0.7605366460950905,-0.2502349851086099,0.849354376721123,-20.67339848177451
18,US-CF2,108,1.1815747177677705,1.0968317961045717,0.9333333333333333,1.6657629948885848,0.7913579499318192,0.7155220975445717,-0.24824138443443747,0.8843363762094101,-21.00936832022056
19,US-CF3,144,1.019344069112851,0.9928600056952904,0.9187500000000001,1.702198033970532,0.5302601401217962,0.5057448411178126,-0.1005940691128509,1.1925386484005316,-9.868509776134696
20,US-CF4,144,1.323813624495733,1.3497623024654648,0.9979166666666668,1.7932846275047234,0.732162016884032,0.6882979275729424,-0.32589695782906625,0.9977134874344346,-24.61803926162241
21,US-CS1,29,1.033304017395381,1.001268667323599,0.8758620689655174,1.690446934227285,0.8425169728474273,0.7275322883768791,-0.1574419484298637,0.8670398948068945,-15.23674986058053
22,US-CS2,108,1.8211642179104681,1.4941135259089569,1.6972222222222226,1.803965431281477,0.8756712335831027,0.8593430038090856,-0.12394199568824565,0.673424467357608,-6.805646326087595
23,US-CS3,36,1.3135999031500307,1.2155083926655736,1.1166666666666667,1.750673339848741,0.8507286914715547,0.7857106929120372,-0.19693323648336422,0.7990760979497538,-14.991873553820732
24,US-CS4,42,0.9265582138164857,1.3514142792431276,1.0261904761904763,1.9199923175417353,0.9083267465341368,0.8434689665921681,0.0996322623739907,0.7505281749054186,10.752941465340447
25,US-DFC,116,1.685069605712443,1.4560015873007102,1.4215517241379312,1.9434977895976402,0.8112124599827661,0.7697134738153733,-0.2635178815745121,0.9286204445823575,-15.63839740988607
26,US-DS3,17,3.5258668275315945,2.4596262473126407,3.0882352941176476,2.5980479097153832,0.9840267672756711,0.9518307318249296,-0.4376315334139472,0.5531815797756845,-12.41202673897716
